crisis_name,series_key,skipped,skip_reason,n_points,ac1_tau,ac1_p_empirical,var_tau,var_p_empirical,n_controls_used,ac1_p_adjusted,var_p_adjusted,flag
2008_financial_crisis,fx_rate_fix,False,,24,0.9855072463768115,0.13846153846153847,1.0,0.2676923076923077,324,0.8998178506375227,0.8998178506375227,False
2008_financial_crisis,cetes_28d,True,fewer than 12 pre-crisis points available,0,,,,,0,,,False
2008_financial_crisis,target_rate,True,fewer than 12 pre-crisis points available,0,,,,,0,,,False
2008_financial_crisis,international_reserves,False,,24,0.8115942028985507,0.27946127946127947,0.891304347826087,0.3400673400673401,296,0.8998178506375227,0.8998178506375227,False
2008_financial_crisis,m1,False,,24,-0.8623188405797101,0.8903508771929824,-0.5289855072463768,0.8114035087719298,227,0.9398148148148149,0.9357537490134176,False
2008_financial_crisis,m2,False,,24,-0.39855072463768115,0.7017543859649122,-0.38405797101449274,0.7982456140350878,227,0.9357537490134176,0.9357537490134176,False
2008_financial_crisis,quarterly_gdp,False,,24,0.16666666666666669,0.3510392609699769,0.5217391304347826,0.10623556581986143,432,0.8998178506375227,0.8998178506375227,False
2008_financial_crisis,unemployment_rate,False,,21,-0.5904761904761905,0.8287292817679558,-0.4285714285714286,0.4861878453038674,180,0.9357537490134176,0.9357537490134176,False
2008_financial_crisis,cpi,False,,24,0.4710144927536232,0.2616033755274262,0.6376811594202899,0.33122362869198313,473,0.8998178506375227,0.8998178506375227,False
2014_oil_collapse,fx_rate_fix,False,,24,-0.2681159420289855,0.4646153846153846,-0.9927536231884059,0.6153846153846154,324,0.9357537490134176,0.9357537490134176,False
2014_oil_collapse,cetes_28d,False,,24,0.9565217391304348,0.24043715846994534,0.8768115942028986,0.3551912568306011,182,0.8998178506375227,0.8998178506375227,False
2014_oil_collapse,target_rate,False,,24,-1.0,1.0,-1.0,0.8406593406593407,181,1.0,0.9357537490134176,False
2014_oil_collapse,international_reserves,False,,24,-0.15217391304347824,0.531986531986532,-0.2536231884057971,0.5488215488215489,296,0.9357537490134176,0.9357537490134176,False
2014_oil_collapse,m1,False,,24,-0.18115942028985507,0.6359649122807017,-0.4565217391304348,0.8026315789473685,227,0.9357537490134176,0.9357537490134176,False
2014_oil_collapse,m2,False,,24,-0.4275362318840579,0.706140350877193,-0.42028985507246375,0.8201754385964912,227,0.9357537490134176,0.9357537490134176,False
2014_oil_collapse,quarterly_gdp,False,,24,0.07246376811594202,0.42032332563510394,-0.391304347826087,0.8452655889145496,432,0.9357537490134176,0.9357537490134176,False
2014_oil_collapse,unemployment_rate,False,,24,-0.6594202898550725,0.861878453038674,-0.6811594202898551,0.712707182320442,180,0.9357537490134176,0.9357537490134176,False
2014_oil_collapse,cpi,False,,24,0.5579710144927535,0.21729957805907174,0.2826086956521739,0.4641350210970464,473,0.8998178506375227,0.9357537490134176,False
1994_tequila,fx_rate_fix,False,,24,1.0,0.07692307692307693,1.0,0.2676923076923077,324,0.8998178506375227,0.8998178506375227,False
1994_tequila,quarterly_gdp,False,,24,0.391304347826087,0.17551963048498845,0.0,0.5450346420323325,432,0.8998178506375227,0.9357537490134176,False
1994_tequila,cpi,False,,24,0.5942028985507246,0.20253164556962025,-1.0,1.0,473,0.8998178506375227,1.0,False
